City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,maniitsoq,88,GL,1538616207,100,65.42,-52.9,31.17,4.38
88,xining,88,CN,1538615803,98,36.62,101.77,31.44,3.6
89,talnakh,88,RU,1538615959,97,69.49,88.39,27.93,13.22
90,butaritari,8,KI,1538616027,100,3.07,172.79,84.99,6.4
91,qaanaaq,0,GL,1538616139,100,77.48,-69.36,16.86,15.68
92,trindade,75,BR,1538614800,73,-16.66,-49.49,75.2,5.82
93,esperance,20,TT,1538611200,83,10.24,-61.45,80.6,4.7
94,huescar,0,ES,1538616207,84,37.81,-2.54,40.62,2.37
95,chitral,92,PK,1538616357,71,35.85,71.79,30.9,0.58
96,ekangala,56,ZA,1538614800,70,-25.66,28.73,46.4,21.92
97,arraial do cabo,40,BR,1538611200,83,-22.97,-42.02,75.2,10.29
98,saint-augustin,0,FR,1538614800,82,44.83,-0.61,55.4,2.24
99,port lincoln,56,AU,1538615961,91,-34.72,135.86,56.01,14.12
100,kamaishi,0,JP,1538611200,77,39.28,141.86,62.6,4.7
101,kilindoni,88,TZ,1538615921,100,-7.91,39.67,77.25,9.31
102,vao,92,EE,1538616358,99,59.1,26.19,43.23,14.67
103,emerald,24,AU,1538616359,52,-23.53,148.16,75.45,8.41
104,torbay,90,CA,1538614800,81,47.66,-52.73,44.6,12.75
105,atuona,0,PF,1538616123,100,-9.8,-139.03,79.41,13.67
106,iranshahr,0,IR,1538611200,14,27.21,60.69,71.6,1.36
107,cape town,0,ZA,1538614800,71,-33.93,18.42,51.8,8.05
108,tuktoyaktuk,75,CA,1538614800,85,69.44,-133.03,23.0,12.75
109,riyadh,0,SA,1538611200,19,24.63,46.72,75.2,4.7
110,atar,76,MR,1538616148,28,20.52,-13.05,84.27,3.71
111,hualmay,24,PE,1538616215,82,-11.1,-77.61,62.94,3.15
112,provideniya,90,RU,1538613000,81,64.42,-173.23,50.0,8.95
113,paamiut,32,GL,1538615920,100,61.99,-49.67,36.03,5.39
114,rio gallegos,40,AR,1538611200,56,-51.62,-69.22,44.6,25.28
115,muroto,75,JP,1538611200,88,33.37,134.14,66.2,4.7
116,buala,92,SB,1538616361,98,-8.15,159.59,80.94,7.74
117,voyvozh,56,RU,1538616361,91,62.89,54.96,37.92,6.17
118,ondangwa,0,NA,1538616362,29,-17.91,15.98,61.68,3.49
119,riedlingen,20,DE,1538614200,100,48.15,9.47,44.6,2.24
120,hermanus,0,ZA,1538616131,89,-34.42,19.24,44.58,5.17
121,mitu,0,IR,1538616363,64,36.2,46.09,45.93,3.27
122,dikson,88,RU,1538616009,100,73.51,80.55,38.55,19.26
123,boulder city,1,US,1538614560,32,35.98,-114.83,86.72,18.34
124,caravelas,44,BR,1538616185,100,-17.73,-39.27,77.61,16.02
125,voskresenskoye,92,RU,1538616363,99,56.84,45.43,51.42,7.96
126,amahai,80,ID,1538616363,100,-3.31,129.0,80.04,9.19
127,gemena,12,CD,1538616363,98,3.25,19.78,67.62,2.15
128,goderich,12,CA,1538615926,89,43.74,-81.71,64.65,22.06
129,broome,48,GB,1538614560,87,52.47,1.45,55.4,6.93
130,ahipara,100,NZ,1538616222,87,-35.17,173.16,59.34,12.1
131,cabo san lucas,5,MX,1538613720,74,22.89,-109.91,84.2,6.93
132,madras,1,US,1538614560,40,44.63,-121.13,59.0,10.29
133,yetkul,0,RU,1538613000,75,54.83,61.59,41.0,4.47
134,yumen,0,CN,1538616364,73,40.29,97.04,36.48,2.59
135,champerico,40,MX,1538610180,65,16.38,-93.6,80.6,14.99
136,agutaya,32,PH,1538616365,100,11.15,120.94,79.68,8.3
137,mahebourg,0,MU,1538615862,92,-20.41,57.7,64.29,6.17
138,te anau,76,NZ,1538616365,81,-45.41,167.72,49.08,14.23
139,katsuura,75,JP,1538611200,82,33.93,134.5,66.2,5.82
140,kloulklubed,75,PW,1538614200,70,7.04,134.26,86.0,4.7
141,yulara,0,AU,1538614800,38,-25.24,130.99,73.4,14.99
142,ayorou,48,NE,1538616365,49,14.73,0.92,81.21,2.93
143,port alfred,88,ZA,1538616125,94,-33.59,26.89,61.05,5.61
144,anacortes,1,US,1538614800,61,48.5,-122.62,51.08,3.36
145,atbasar,8,KZ,1538616366,56,51.81,68.36,39.45,7.85
146,san policarpo,24,PH,1538616366,100,12.18,125.51,80.04,5.61
147,owando,64,CG,1538616367,89,-0.49,15.91,72.57,3.94
148,yaring,40,TH,1538614800,69,6.87,101.37,80.6,4.7
149,kavieng,24,PG,1538615853,100,-2.57,150.8,85.35,3.15
150,fort nelson,75,CA,1538614800,41,58.81,-122.69,39.2,8.05
151,khani,75,GE,1538613000,93,41.96,42.96,60.8,4.7
152,sitka,0,US,1538616092,34,37.17,-99.65,90.3,7.63
153,cidreira,12,BR,1538616016,91,-30.17,-50.22,58.08,6.85
154,dandong,0,CN,1538615868,88,40.12,124.37,58.98,3.6
155,tigil,92,RU,1538615861,77,57.8,158.67,44.22,6.96
156,belomorsk,76,RU,1538616367,100,64.52,34.76,37.74,9.31
157,dunedin,92,NZ,1538615601,68,-45.87,170.5,53.94,11.43
158,puerto ayora,0,EC,1538616139,100,-0.74,-90.35,72.3,14.23
159,kokopo,20,PG,1538616213,100,-4.34,152.27,81.84,2.04
160,san vicente,0,SV,1538614200,83,13.64,-88.78,82.4,2.24
161,castro,68,CL,1538616158,92,-42.48,-73.76,44.49,5.17
162,valmiera,92,LV,1538616369,100,57.54,25.42,40.8,23.29
163,kahului,40,US,1538614560,67,20.89,-156.47,84.92,17.22
164,mountain home,75,US,1538614680,40,43.13,-115.69,68.0,5.82
165,kiunga,92,PG,1538616370,98,-6.12,141.3,74.82,0.69
166,buta,48,CD,1538616370,96,2.79,24.73,69.87,2.15
167,sayyan,0,YE,1538616145,52,15.17,44.32,45.21,2.37
168,west odessa,1,US,1538614500,58,31.84,-102.48,86.18,14.99
169,codrington,8,AU,1538616179,73,-28.95,153.24,71.94,3.6
170,montrose,90,AU,1538614800,54,-37.81,145.34,55.4,13.87
171,acapulco,90,MX,1538613720,88,16.86,-99.88,82.4,6.93
172,sinnamary,0,GF,1538615879,91,5.38,-52.96,82.38,12.66
173,providencia,36,CO,1538616371,64,1.24,-77.6,58.35,1.36
174,manaure,32,CO,1538616372,100,11.78,-72.45,83.1,6.73
175,hays,75,US,1538614560,50,38.88,-99.33,80.96,9.17
176,poum,24,MK,1538615939,92,41.28,20.71,44.49,1.7
177,haines junction,12,CA,1538616071,44,60.75,-137.51,42.96,2.59
178,zhigansk,92,RU,1538615902,100,66.77,123.37,34.14,2.59
179,alugan,24,PH,1538615936,100,12.22,125.48,80.04,5.61
180,bangkalan,20,ID,1538611200,78,-7.05,112.74,78.8,3.36
181,faanui,56,PF,1538616184,100,-16.48,-151.75,78.24,21.27
182,shangzhi,0,CN,1538616373,81,45.21,127.96,58.62,3.38
183,amga,88,RU,1538616198,88,60.89,131.98,37.92,2.82
184,aswan,0,EG,1538611200,27,24.09,32.9,86.0,6.93
